"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"521959601","201812","93493232006139","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932329349300613_public.xml","MASTOCYTOSIS SOCIETY INC","2019-10-29","201932329349300613","2019-12-12T13:40:41",2018
"364165018","201906","93493136007380","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031369349300738_public.xml","MCKINLEY III INC","2020-10-06","202031369349300738","2020-10-21T16:54:13",2018
"351157606","201406","93493028007035","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201530289349300703_public.xml","REAL SERVICES INC","2015-02-06","201530289349300703","2016-03-21T17:23:53",2013
"842359546","201912","93492217006030","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032179349200603_public.xml","GREATER KANSAS CITY FRIENDS OF FISHER HOUSE","2020-12-10","202032179349200603","2021-01-29T00:12:26",2019
"510563980","201412","93492167002235","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201531679349200223_public.xml","THUMBNAIL THEATER","2015-07-14","201531679349200223","2016-04-29T13:40:20",2014
"341209968","201812","93493319042249","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349304224_public.xml","HURON BAND PARENTS INC","2020-02-08","201943199349304224","2020-04-07T15:44:01",2018
"462837030","201712","93492295005098","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201842959349200509_public.xml","AMERICAN NURSING AND TECHNICAL INSTITUTE","2018-12-10","201842959349200509","2018-12-22T17:14:37",2017
"136162623","201606","93492286006296","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201642869349200629_public.xml","ROTARY CLUB OF PLEASANTVILLE INC","2017-01-20","201642869349200629","2017-02-11T02:39:43",2015
"141894035","201112","93492223010152","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201202239349201015_public.xml","HEALTHY KIDS ONE MORE CHILD FOUNDATION","2012-11-06","201202239349201015","2016-03-21T17:23:53",2011
"382332150","201406","93492318015364","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201413189349201536_public.xml","ST JOSEPH BAND AND ORCHESTRA PARENTS ASSOCIATION","2014-12-31","201413189349201536","2016-03-21T17:23:53",2013
"273204358","201312","93493321113144","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201443219349311314_public.xml","HOPEMOB INC","2014-12-29","201443219349311314","2016-03-21T17:23:53",2013
"260849441","201512","93493222009836","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201632229349300983_public.xml","FRIENDS OF LEVITT PAVILION","2016-12-19","201632229349300983","2017-01-11T22:15:19.0330064Z",2015
"931172164","201506","93493315020495","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201543159349302049_public.xml","CONDON CHILD CARE INC","2016-02-11","201543159349302049","2016-04-29T13:40:20",2014
"510192908","201512","93493200010646","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201642009349301064_public.xml","HULDA KLAGER LILAC GARDENS","2016-12-08","201642009349301064","2016-12-15T17:30:33",2015
"550391262","201706","93493353011077","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201723539349301107_public.xml","CATHOLIC CHARITIES WEST VIRGINIA INC","2018-02-12","201723539349301107","2018-03-14T23:04:38",2016
"741586640","201712","93492221003418","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201812219349200341_public.xml","MEMORIAL HOLLOW CITIZENS INC","2018-09-28","201812219349200341","2018-10-16T15:38:26",2017
"141826563","201606","93493130012377","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201721309349301237_public.xml","SARANAC LAKE ROTARY FOUNDATION INC","2017-10-12","201721309349301237","2017-11-15T14:51:02",2015
"272985811","201112","93493171004472","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201221719349300447_public.xml","MY CYBER GUARDIAN EDUCATIONAL SERVICES INC","2012-10-18","201221719349300447","2016-03-21T17:23:53",2011
"356068649","201409","93493349012664","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201413499349301266_public.xml","FESTIVAL MUSIC SOCIETY INC","2014-12-29","201413499349301266","2016-03-21T17:23:53",2013
"202052729","201612","93492316024109","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903169349202410_public.xml","ANCESTRAL WISDOM BRIDGE FOUNDATION","2020-02-03","201903169349202410","2020-07-28T16:00:13",2016
"541003013","201206","93493319046052","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201203199349304605_public.xml","HUMANE SOCIETY OF AMHERST COUNTY","2012-12-14","201203199349304605","2016-03-21T17:23:53",2011
"135596755","201012","93493131001451","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201101319349300145_public.xml","CHEBRA AGUDAS ACHIM CHESID SHEL EMETH HEBREW FREE BURIAL ASSOCIATION INC","2011-09-30","201101319349300145","2016-03-21T17:23:53",2010
