"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SC_01_POLI_ORG_EIN","SC_01_POLI_ORG_AMT_CONTR_REC","SC_01_POLI_ORG_NAME_L1","SC_01_POLI_ORG_ADDR_L1","SC_01_POLI_ORG_ADDR_CITY","SC_01_POLI_ORG_ADDR_STATE","SC_01_POLI_ORG_ADDR_ZIP","SC_01_POLI_ORG_AMT_FUND_PAID","SC_01_POLI_ORG_ADDR_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923089349301362","630362918","ALABAMA RETAIL ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923089349301362_public.xml","912065311","225105","RETAILERS OF ALABAMA PAC","PO BOX 240669","MONTGOMERY","AL","36124",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","823670560",NA,"BOLD COLORADO","1000 GRANT STREET SUITE 1604","DENVER","CO","80203","2500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","522344445",NA,"CITIZENS FOR BRIAN FELDMAN","1200 LIGHT STREET UNIT B","BALTIMORE","MD","21230","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","521746809",NA,"CITIZENS FOR DELORES KELLEY","PO BOX 21514","BALTIMORE","MD","21282","1500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","201063651",NA,"CITIZENS FOR MERRITT","9801 FALL CREEK ROAD","INDIANAPOLIS","IN","46256","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","824403196",NA,"CLAIRE WILSON FOR SENATE","31811 PACIFIC HWY S SUITE B 288","FEDERAL WAY","WA","98003","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","814420090",NA,"COLORADANS FOR FAIRNESS","1567 S UNIVERSITY BOULEVARD","DENVER","CO","80210","2000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","823746496",NA,"COMMITTEE TO ELECT DANIEL BONHAM","PO BOX 2142","THE DALLES","OR","97058","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","550890769",NA,"COMMITTEE TO ELECT PETER WIRTH","708 PASEO DE PERALTA","SANTA FE","NM","87501","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","475625375",NA,"COMMON SENSE OF MAINE","PO BOX 51","DRESDEN","ME","04342","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","270015857",NA,"CUSICK FOR ASSEMBLY","1911 RICHMOND AVENUE","STATEN ISLAND","NY","10314","1500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","010930328",NA,"ELECTION FUND OF CRAIG COUGHLIN","569 RAHWAY AVENUE","WOODBRIDGE","NJ","07095","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","030470225",NA,"ELECTION FUND OF PAUL SARLO","496 COLUMBIA BOULEVARD","WOODRIDGE","NJ","07075","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml",NA,NA,"ELECTION FUND OF SENATOR BOB SMITH","216 SHELTON ROAD SUITE E-5","PISCATAWAY","NJ","08854","1500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","463740256",NA,"ELIANA PINTOR MARIN FOR STATE ASSEMBLY","263 LAFAYETTE STREET 1ST FLOOR","NEWARK","NJ","07105","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","823809530",NA,"EMILY RANDALL FOR SENATE","PO BOX 1883","PORT ORCHARD","WA","98366","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","521863834",NA,"FRIENDS OF DERECK DAVIS","6 BLADEN STREET HOUSE OFFICE BUILD","ANNAPOLIS","MD","21401","1500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","824779518",NA,"FRIENDS OF JARED MEAD","PO BOX 13924","MILL CREEK","WA","98082","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml",NA,NA,"FRIENDS OF JIM MATHIAS","3546 FIGGS LANDING ROAD","SNOW HILL","MD","21863","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","020757813",NA,"FRIENDS OF JOANNE C BENSON","PO BOX 5655","CAPITOL HEIGHTS","MD","20743","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","161415458",NA,"FRIENDS OF JOE GRIFFO","PO BOX 135","ROME","NY","13442","1500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","521814219",NA,"FRIENDS OF KATHY KLAUSMEIER","4100 WALTER AVENUE","BALTIMORE","MD","21236","1000",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","271380093",NA,"FRIENDS OF LEE BEYER","951 S STREET","SPRINGFIELD","OR","97477","500",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103","521121931","AMERICAN WIND ENERGY ASSOCIATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933039349300103_public.xml","812668177",NA,"FRIENDS OF MARI LEAVITT","PO BOX 65195","TACOMA","WA","98466","500",NA
