"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
751365215,201812,93493133026709,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302670_public.xml","MOSCOW WATER SUPPLY CORPORATION","2019-06-21",201901339349302656,"2019-07-23T17:24:36",2018
421064001,201812,93493133026609,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302660_public.xml","ANAMOSA SENIOR CITIZENS HOUSING INC","2019-06-21",201901339349302656,"2019-07-23T17:24:36",2018
382411774,201812,93493116007279,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921169349300727_public.xml","MIDDLE MICHIGAN DEVELOPMENT CORPORATION","2019-06-21",201921169349300736,"2019-07-23T17:24:36",2018
205592955,201812,93493130006079,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300607_public.xml","DRESS FOR SUCCESS RIVER CITIES INC","2019-06-21",201921309349300608,"2019-07-23T17:24:36",2018
43584321,201812,93493133002409,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300240_public.xml","CAPE COD SCHOLARSHIPS INC CO CAPE COD FOUNDATION INC","2019-07-05",201901339349300224,"2019-07-23T17:24:36",2018
586035516,201812,93493135017769,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349301776_public.xml","GLYNN COUNTY FEDERAL EMPLOYEES CREDIT UNION","2019-06-21",201911359349301760,"2019-07-23T17:24:36",2018
113648850,201812,93493134046719,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304671_public.xml","IGLESIA PENTECOSTAL BETHEL DE GAINESVILLE","2019-07-19",201911349349304672,"2019-08-15T15:27:32",2018
576069072,201812,93493133034989,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303498_public.xml","MIDLAND RETIRED MILITARY ASSOCIATION","2019-07-19",201931339349303488,"2019-08-15T15:27:32",2018
352518819,201812,93493130007229,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300722_public.xml","FAMILY PROMISE OF SOUTHERN CHESTER COUNTY","2019-06-21",201921309349300736,"2019-07-23T17:24:36",2018
730243029,201812,93493133066489,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349306648_public.xml","INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 523","2019-07-19",201931339349306656,"2019-08-15T15:27:32",2018
410851371,201812,93493135072639,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307263_public.xml","NORTHWESTERN MENTAL HEALTH CENTER","2019-06-28",201931359349307264,"2019-07-23T17:24:36",2018
570699090,201812,93493135072189,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307218_public.xml","WESTMINSTER PRESBYTERIAN CENTER INC","2019-06-28",201931359349307232,"2019-07-23T17:24:36",2018
810358311,201901,93493126015139,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301513_public.xml","HEARTHSTONE INC","2019-06-21",201931269349301504,"2019-07-23T17:24:36",2018
205014424,201812,93493126012139,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301213_public.xml","FOOD LITERACY PROJECT AT OXMOOR FARM INC","2019-06-21",201931269349301216,"2019-07-23T17:24:36",2018
203795033,201812,93493150011539,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931509349301153_public.xml","NOBELITY PROJECT","2019-06-21",201931509349301152,"2019-07-23T17:24:36",2018
541119044,201812,93493135121889,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349312188_public.xml","CARTER FAMILY MEMORIAL MUSIC CENTER INC","2019-07-12",201931359349312192,"2019-08-15T15:27:32",2018
251088478,201812,93493133047209,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349304720_public.xml","CIRCLE HILL CEMETERY ASSOCIATION INC","2019-06-28",201901339349304704,"2019-07-23T17:24:36",2018
421514593,201812,93493133000259,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300025_public.xml","APARTMENTS OF RIVER TRACE INC","2019-07-05",201901339349300032,"2019-07-23T17:24:36",2018
810781609,201812,93493134026579,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349302657_public.xml","CONNECTIONS FOR WOMEN INC","2019-07-15",201921349349302656,"2019-08-15T15:27:32",2018
274500692,201812,93493135116699,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349311669_public.xml","LOS GATOS PUBLIC MEDIA INC","2019-07-12",201941359349311680,"2019-08-15T15:27:32",2018
950884084,201812,93493129021549,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349302154_public.xml","INTERNATIONAL BROTHERHOOD OF 42 JOINT COUNCIL","2019-06-27",201941299349302144,"2019-07-23T17:24:36",2018
