"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SF_02_FRGN_ORG_GRANT_REGION","SF_02_FRGN_ORG_GRANT_PURPOSE","SF_02_FRGN_ORG_GRANT_DISBMT","SF_02_FRGN_ORG_GRANT_NC_MOV","SF_02_FRGN_ORG_GRANT_AMT","SF_02_FRGN_ORG_GRANT_NC_AMT","SF_02_FRGN_ORG_GRANT_NC_DESC"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349320329","830506468","RWANDAN ORPHANS PROJECT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349320329_public.xml","KIGALI, RWANDA","PROGRAM SERVICES","WIRE TRANSFER","BOOK",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","VEDIC PROGRAMS",NA,"CASH","43817",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","VEDIC EDUCATION",NA,"CASH","3119000",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","EUROPE","VEDIC PROGRAM EDUCATION",NA,"CASH","616030",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","EUROPE","VEDIC EDUCATION",NA,"CASH","125120",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","VEDIC PROGRAMS",NA,"CASH","170000",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","VEDIC PROGRAMS",NA,"CASH","1510000",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899","463250017","BRAHMANANDA SARASWATI YAGYA FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349303899_public.xml","SOUTH ASIA","VEDIC PROGRAMS",NA,"CASH","16336",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041579349300529","953494561","WYCLIFFE BIBLE TRANSLATORS INTERNATIONAL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041579349300529_public.xml","Sub-Saharan Africa","Bible Translation Program","wire",NA,"100795",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041579349300529","953494561","WYCLIFFE BIBLE TRANSLATORS INTERNATIONAL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041579349300529_public.xml","Central America and the Caribbean","Bible Translation Program","wire",NA,"8677",NA,NA
