"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SG_01_FUNDRAISER_ACT","SG_01_FUNDRAISER_CTRL_FUND_X","SG_01_FUNDRAISER_ACT_GRORCPT","SG_01_FUNDRAISER_AMT_PAID","SG_01_FUNDRAISER_AMT_ORG","SG_01_FUNDRAISER_NAME_ORG_L1","SG_01_FUNDRAISER_ADDR_L1","SG_01_FUNDRAISER_ADDR_CITY","SG_01_FUNDRAISER_ADDR_STATE","SG_01_FUNDRAISER_ADDR_ZIP","SG_01_FUNDRAISER_NAME_INDIV","SG_01_FUNDRAISER_ADDR_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941339349204554","330968096","FRIENDS OF COLORADO LAGOON","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941339349204554_public.xml","EDUCATION PROGRAM RELATED TO THE ENDANGERED SALT MARSH BIRD'","0","39572","0","39572","BIRD BEAK","6475 E PACIFIC COAST HWY 252","LONG BEACH","CA","90803",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349315533","800305723","Teneo Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933199349315533_public.xml","General consulting","0","0","80433","0","American Philanthropic","119 N High St","West Chester","PA","19380",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911899349300706","237586136","FRATERNAL ORDER OF POLICE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911899349300706_public.xml","SOLICIATIO","false","140104","77579","62525",NA,"2439 S BROAD STREET","PHILADELPHIA","PA","19148","CIVIC AWARENESS INC",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923129349302492","540600387","HAMPTON ROADS ECONOMIC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201923129349302492_public.xml","CAMPAIGN MANAGEMENT","0","0","49000","-49000","CONVERGENT NONPROFIT SOLUTIONS","2451 CUMBERLAND PARKWAY SUITE 367","ATLANTA","GA","30339",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933319349301118","416038611","WEST CENTRAL MN EDUC TELEVISION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933319349301118_public.xml","CAPTL CAMP","false","176570","15398","161172","KATRINA LYNN LLC","PO BOX 722","SAUK RAPIDS","MN","56379",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901299349301570","464014810","Quality Education Services of MN Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901299349301570_public.xml","Consults on Grant writing and fundrasing","0","86200","15173","71027","Mission360 Consulting LLC","1211 Summit Ave","Saint Paul","MN","55105",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912979349300821","510181688","COMMUNITY HEALTH NETWORK FOUNDATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912979349300821_public.xml","STRGY/MAIL","false","537198","331029","206169",NA,"5151 BELT LINE ROAD SUITE 900","DALLAS","TX","75254","THE PURSUANT GROUP",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302","811652178","MT CARMEL VETERANS SERVICE CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302_public.xml","GRANT WRITING","0","400000","19460","380540",NA,"4905 LANGDALE WAY","COLORADO SPRINGS","CO","80906",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302","811652178","MT CARMEL VETERANS SERVICE CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302_public.xml","GRANT WRITING","0","368944","28569","340375",NA,"7990 CR 10","LAS ANIMAS","CO","81054","ALISHA HALL",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302","811652178","MT CARMEL VETERANS SERVICE CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020459349301302_public.xml","GRANT WRITING","0","44000","27760","16240",NA,"916 TENDERFOOT HILL ROAD","COLORADO SPRINGS","CO","80906","DENISE PATRICK",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349304280","942998528","ALTO INTERNATIONAL SCHOOL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349304280_public.xml","MAIL SOLICITATIONS, INTERNET AND EMAIL, PHONE, IN PERSON, SP","0","525362","16458","508904","KAREN RIZKALLA","1925 HELEN CT","LOS ALTOS","CA","94024",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032309349301338","900054984","CAPE COD HEALTHCARE INC & AFFILIATES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032309349301338_public.xml","DIRECT MAIL","false","221719","56538","165181",NA,"503 BROWN COUNTY 19N","ABERDEEN","SD","57401","Borns GroupVDM",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032309349301338","900054984","CAPE COD HEALTHCARE INC & AFFILIATES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202032309349301338_public.xml","Direct Mail","false","27465","13893","13572",NA,"78 RIVER ROAD SOUTH","PUTNEY","VT","05346","Five Maples",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942249349300724","232660344","GREATER EASTON DEVELOPMENT PARTNERSHIP","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201942249349300724_public.xml","CONTRIBUTIONS","false","143782","31632","112150","MOSS HERCIK LLC",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912359349301101","251313958","SUSQUE-VIEW HOME INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912359349301101_public.xml","FUNDRAISER","true","35657","60000","-24343",NA,"350 PINE STREET","BELLEFONTE","PA","16823","ABLE FUNDRAISING CONSULTATION",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349202464","161275434","FRATERNAL ORDER OF POLICE 1 OSWEGO COUNTY LODGE","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349202464_public.xml","PRODUCED AN ADVERTISING BOOKLET","false","8723","6040","2683","SPOTLIGHT MUSIC PRODUCTIONS","820 HAMILTON AVE","WATERBURY","CT","06780",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","1500",NA,"1500",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","1500",NA,"1500",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,NA,"300",NA,"300",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","3500",NA,"3500",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","2200",NA,"2200",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","300",NA,"300",NA,NA,NA,NA,NA,"DAVE SEAUNIER",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","300",NA,"300",NA,NA,NA,NA,NA,"BOB AND BEV SEAUNIER",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","1500",NA,"1500",NA,NA,NA,NA,NA,"LONNIE CLARK",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","5000",NA,"5000",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812","452781053","ADAM CRAIG FOUNDATION","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922189349200812_public.xml",NA,"true","1200",NA,"1200",NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020739349301412","462229395","ADT KIDS DENTAL SERVICES PA","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020739349301412_public.xml","FUNDRSG","false","17594","17594",NA,"AMPLIFY DMC LLC","1375 ST ANTHONY AVENUE 201","ST PAUL","MN","55104",NA,NA
