"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
43046769,201812,93493130000229,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300022_public.xml","NEWBURY STREET LEAGUE","2019-06-21",201921309349300032,"2019-07-23T17:24:36",2018
391774863,201812,93493135017609,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349301760_public.xml","NORTHWOODS CHILDRENS MUSEUM","2019-07-12",201901359349301760,"2019-08-15T15:27:32",2018
43614613,201812,93493130037829,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303782_public.xml","SERVING ORPHANS WORLDWIDE INC","2019-06-21",201921309349303776,"2019-07-23T17:24:36",2018
450436414,201812,93493130004479,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300447_public.xml","LAKE REGION BASEBALL BOOSTERS","2019-06-21",201921309349300448,"2019-07-23T17:24:36",2018
61469419,201812,93493130004329,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300432_public.xml","GROTON OPEN SPACE ASSOCIATION INC","2019-06-21",201921309349300416,"2019-07-23T17:24:36",2018
237045308,201812,93492133017889,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349201788_public.xml","CENTERVILLE KNIGHTS OF COLUMBUS","2019-07-19",201931339349201792,"2019-08-15T15:27:32",2018
472192711,201812,93493133062989,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349306298_public.xml","AIDANS AVENGERS","2019-07-12",201931339349306304,"2019-08-15T15:27:32",2018
275268256,201812,93493134046579,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349304657_public.xml","JOSEPH J THEINERT MEMORIAL FUND INC","2019-07-12",201921349349304672,"2019-08-15T15:27:32",2018
232876724,201812,93493135041609,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349304160_public.xml","PLEASANT HALL VOLUNTEER FIRE COMPANY","2019-07-12",201901359349304160,"2019-08-15T15:27:32",2018
410967271,201812,93493144000049,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941449349300004_public.xml","COMMUNITY THREAD","2019-06-21",201941449349300000,"2019-07-23T17:24:36",2018
