"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SH_05_NON_HOSPITAL_FACILITY_TYPE","SH_05_NON_HOSPITAL_NAME_L1","SH_05_NON_HOSPITAL_ADDR_L1","SH_05_NON_HOSPITAL_ADDR_CITY","SH_05_NON_HOSPITAL_ADDR_STATE","SH_05_NON_HOSPITAL_ADDR_ZIP","SH_05_NON_HOSPITAL_ADDR_L2","SH_05_NON_HOSPITAL_NAME_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","Physical Therapy","ACC - Physical Therapy","200 South Orange Ave","Livingston","NJ","07039",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","CARDIAC IMAGING","NJ CARDIOLOGY ASSOC - CARDIAC IMAGING","375 MOUNT PLEASANT AVENUE","WEST ORANGE","NJ","07052",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","CARDIAC IMAGING","CONSULTANTS IN CARDIOLOGY - CARDIAC IMAG","741 NORTHFIELD AVENUE","WEST ORANGE","NJ","07052",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","Vascular Lab","ACC - Vascular Lab","200 South Orange Ave","Livingston","NJ","07039",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","Pediatric Physical Therapy","ACC - Pediatric Physical Therapy","101 Old Short Hills Road Suite 210","WEST ORANGE","NJ","07052",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","CARDIAC IMAGING","NUCLEAR IMAGING - DR LENCHUR","776 E 3RD AVENUE","ROSELLE","NJ","07203",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","PHLEBOTOMY STATION","OUTREACH PHLEBOTOMY","200 SOUTH ORANGE AVENUE","LIVINGSTON","NJ","07039",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","CARDIAC IMAGING","SUMMIT CARDIOLOGY IMAGING PRACTICE","1 SPRINGFIELD AVENUE","SUMMIT","NJ","07901",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","Speech & Hearing","ACC - Speech & Hearing","200 South Orange Ave","Livingston","NJ","07039",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469","221494440","SAINT BARNABAS MEDICAL CENTER","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349312469_public.xml","Echocardiography","ACC - Echocardiography","200 South Orange Ave","Livingston","NJ","07039",NA,NA
