"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SM_01_OTH_NONCSH_X","SM_01_OTH_NONCSH_DESC","SM_01_OTH_NONCSH_CONTR","SM_01_OTH_NUM_CONTR","SM_01_OTH_METHOD_REV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021359349301612","222635303","Northern Maine Development Commission","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202021359349301612_public.xml","X","In-kind services","174541",NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349301780","942382546","LIFE CHIROPRACTIC COLLEGE WEST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349301780_public.xml","X","NEURO PULSE WAVE PROFILER EQUIPMENT","43092","1","FMV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349301780","942382546","LIFE CHIROPRACTIC COLLEGE WEST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001969349301780_public.xml","X","3 SAUNAS","19343","1","FMV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922349349301432","926002989","YOUTH EXPLORING ADVENTURE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922349349301432_public.xml","X","AUCTION ITEMS","38327","149","FMV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922349349301432","926002989","YOUTH EXPLORING ADVENTURE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201922349349301432_public.xml","X","IMPROVEMENT COS","6910","1","COST"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040989349301514","202224168","ROSARIA COMM IN GAITHERSBURG INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040989349301514_public.xml","X",NA,"39412","3",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001","581394456","NEIGHBORHOOD CHRISTIAN CENTERS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001_public.xml","X","PAVING OF PARKING LOT - 223 SCOTT","5750","1","CONTRACTOR/MANUFACTU"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001","581394456","NEIGHBORHOOD CHRISTIAN CENTERS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001_public.xml","X","OVERHEAD PROJECTORS","2500","2","MANUFACTURER RETAIL"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001","581394456","NEIGHBORHOOD CHRISTIAN CENTERS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001_public.xml","X","COLLEGE GIFTS- BACKPACKS FOR CAPS RECEPTION","1010","1","ESTIMATED RETAIL VAL"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001","581394456","NEIGHBORHOOD CHRISTIAN CENTERS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010579349300001_public.xml","X","TERHUNE PLUMBING","250","1","PLUMBING REPAIR RETA"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941849349300104","208349270","UNITED SERVICES ORGANIZATION","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941849349300104_public.xml","X","OTHER ITEMS AND CASH CARDS","0","25","GENERALLY COST, PREP"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349314995","061309318","Gifts of Love Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349314995_public.xml","X","Housewares","84160","0","FMV"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912179349300141","391711417","AFS-USA INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912179349300141_public.xml","X","Software","2000","1","Market Value"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349310315","453506813","GREATER LATROBE PARTNERS IN EDUCATION FOUNDATION INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903199349310315_public.xml",NA,"ADMINISTRATIVE SERVICES","117218",NA,NA
