"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SN_01_LTD_ASSET_DIST_DESC","SN_01_LTD_ASSET_DIST_DATE","SN_01_LTD_ASSET_DIST_FMV","SN_01_LTD_ASSET_DIST_FMV_METHOD","SN_01_LTD_RECIP_NAME_PERS","SN_01_LTD_RECIP_EIN","SN_01_LTD_RECIP_IRC_SECTION","SN_01_LTD_RECIP_ADDR_L1","SN_01_LTD_RECIP_ADDR_CITY","SN_01_LTD_RECIP_ADDR_STATE","SN_01_LTD_RECIP_ADDR_ZIP","SN_01_LTD_RECIP_NAME_ORG_L1","LiquidationOfAssetsTableGrp","DirectorOfSuccessor2Ind","EmployeeOfSuccessor2Ind","OwnerOfSuccessor2Ind","ReceiveCompensation2Ind","AssetsDistributedInd","RequiredToNotifyAGInd","AttorneyGeneralNotifiedInd","LiabilitiesPaidInd","BondsOutstandingInd","BondLiabilitiesDischargedInd","DirectorOfSuccessorInd","EmployeeOfSuccessorInd","OwnerOfSuccessorInd","ReceiveCompensationInd","SN_01_LTD_RECIP_ADDR_L2","SN_01_LTD_RECIP_ADDR_CNTR","SN_01_LTD_RECIP_NAME_ORG_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","WOODEN BLOCKS FURNITURE VARIOUS SHELVES AND SAND TABLE","2018-07-09","640","CURRENT PURCHASE PRICE LESS DEPRECIATION","MIDDLEFIELD CHILDRENS CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","TABLES CHAIRS PLAY KITCHEN","2018-07-09","500","CURRENT PURCHASE PRICE LESS DEPRECIATION","BRANFORD EARLY LEARNING CENTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","2 TABLES 16 KID CHAIRS","2018-07-09","60","CURRENT PURCHASE PRICE LESS DEPRECIATION","BRIDGET FRASER COLCHESTER SCHOOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","SWING SET","2018-07-09","500","CURRENT PURCHASE PRICE LESS DEPRECIATION","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","EDUCATIONAL GAMES MATERIALS TOYS SUPPLIES ETC","2018-07-09","225","CURRENT PURCHASE PRICE LESS DEPRECIATION","TAG SALE ATTENDEES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","TOYS PUZZLES GAMES LEGOS BOOKS CRAYONS","2018-07-09","400","CURRENT PURCHASE PRICE LESS DEPRECIATION","SHORELIE SOUP KITCHEN","463773017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","TABLES CHAIRS SUPPLIES BULLETIN BOARD INSTRUMENTS PLAYGROUND","2018-07-09","1979","CURRENT PURCHASE PRICE LESS DEPRECIATION","FIRST CHURCH OF CHRIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310","060857337","COMMUNITY COOP NURSERY SCHOOL OF OLD SAYBROOK INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201902499349200310_public.xml","MONETARY DONATION","2019-06-30","2454","BALANCE IN OPERATING ACCOUNT","FIRST CHURCH OF CHRIST IN SAYBROOK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309569","314401237","Isabelle Ridgway Care Center Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943179349309569_public.xml","Termination of Organization","2019-12-01","5840","FMV","Ridgway Missionary Foundation","311256585","501c3","3982 Powell Rd","Powell","OH","43065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932889349200328","352422385","OSF Heart & Vascular Institute","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201932889349200328_public.xml","FMV OF ASSETS TRANSFERRED LESS LIABILITIES ASSUMED","2018-12-31","0","VALUE AT DATE OF MERGER","OSF MULTI-SPECIALTY GROUP","383852646","501(C)(3)","800 NE GLEN OAK AVE","PEORIA","IL","61603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040769349200029","205055664","PRIZE4LIFE INC","2019","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202040769349200029_public.xml","CASH","2019-05-20","313869",NA,NA,"043085718","501(C)(3)","685 CANTON STREET","NORWOOD","MA","02062","AMYOTROPHIC LATERAL SCLEROSIS ASSN MASSACHUSETTS CHAPTER INC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500","526808150","WHITE HOUSE ACQUISITION TRUST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500_public.xml","CASH","2019-09-30","145503","MARKET","WHITE HOUSE ENDOWMENT ACQUISITION","526898598","501(C)(3)","740 JACKSON PLACE","WASHINGTON","DC","20006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500","526808150","WHITE HOUSE ACQUISITION TRUST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500_public.xml","PREPAID EXPENSES","2019-09-30","34701","MARKET","WHITE HOUSE ENDOWMENT ACQUISITION","526898598","501(C)(3)","740 JACKSON PLACE","WASHINGTON","DC","20006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500","526808150","WHITE HOUSE ACQUISITION TRUST","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202002269349300500_public.xml","PUBLICLY TRADED SECURITIES","2019-09-30","7744144","MARKET","WHITE HOUSE ENDOWMENT ACQUISITION","526898598","501(C)(3)","740 JACKSON PLACE","WASHINGTON","DC","20006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941169349300424","461761378","ELEARN INSTITUTE INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941169349300424_public.xml","N/A","2018-12-31","0","CASH","NONE",NA,"N/A","2800 RIO ORILLA ST LANE NW","ALBUQUERQUE","NM","87120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349200639","223368553","Welfare Benefits For NU Emp Valley","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041929349200639_public.xml","SEE PART III","2017-08-01","0","BOOK VALUE","GRANITE STATE CO POST RET BEN FOR E","020460247","501(C)(9)","PO BOX 535007","PITTSBURGH","PA","152535007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349202594","570946722","ASHMORE INC","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349202594_public.xml","TERMINATION OF 501C7 STATUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349204511","810517667","ACT FOR NE KS OK","2018","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913199349204511_public.xml","ASSETS DISTRIBUTED TO INDIVIDUAL ACT PARTICIPANTS IN PROPORTION TO ACCOUNT BALANCES AND REPORTED AS SUCH. ALL PARTICIPANT ACCOUNTS WERE FULLY DISTRIBUTED BY 12/31/2018.","2018-10-31","2252","CASH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
