"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
141975841,201812,93493135098439,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349309843_public.xml","MOST VALUABLE KIDS OF GREATER NEW YORK INC","2019-07-19",201931359349309856,"2019-08-15T15:27:32",2018
473852962,201812,93492134058629,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349205862_public.xml","WEST AFRICAN CULTURAL FOUNDATION INC","2019-07-19",201921349349205856,"2019-08-15T15:27:32",2018
371616697,201812,93492135062759,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349206275_public.xml","DIAMOND DOLLS FASTPITCH CLUB INC","2019-07-19",201901359349206272,"2019-08-15T15:27:32",2018
320475252,201812,93492134029979,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349202997_public.xml","CARMEL FILM FESTIVAL INC","2019-07-19",201921349349203008,"2019-08-15T15:27:32",2018
475039780,201812,93492133020239,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349202023_public.xml","HEART OF THE VINE CO STERLING FOUNDATION MANAGEMENT LLC","2019-07-19",201931339349202016,"2019-08-15T15:27:32",2018
460632274,201812,93493129023249,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349302324_public.xml","420 SOUTH CONGRESS INC","2019-06-27",201941299349302336,"2019-07-23T17:24:36",2018
611698532,201812,93493129025349,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349302534_public.xml","TMT TEMPE INDUSTRIAL INC","2019-06-27",201941299349302528,"2019-07-23T17:24:36",2018
150566331,201812,93492133010559,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349201055_public.xml","WESTMINSTER NURSERY SCHOOL","2019-06-28",201901339349201056,"2019-07-23T17:24:36",2018
861083994,201812,93492134047719,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349204771_public.xml","SWEET THOUGHTS ALZHEIMERS SUPPORT GROUP","2019-07-19",201911349349204768,"2019-08-15T15:27:32",2018
271510317,201812,93492134004469,"990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349200446_public.xml","IDAHO FALLS AIR SHOW INC","2019-07-19",201911349349200448,"2019-08-15T15:27:32",2018
