"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SR_01_DISREG_ENTITY_EIN","SR_01_DISREG_ENTITY_PRIMARY_ACT","SR_01_DISREG_ENTITY_DMCL_STATE","SR_01_DISREG_ENTITY_INCOME_TOT","SR_01_DISREG_ENTITY_ASSETS_EOY","SR_01_DISREG_ENTITY_NAME_L1","SR_01_DISREG_ENTITY_ADDR_L1","SR_01_DISREG_ENTITY_ADDR_CITY","SR_01_DISREG_ENTITY_ADDR_STATE","SR_01_DISREG_ENTITY_ADDR_ZIP","SR_01_DISREG_ENTITY_NAME_L1.1","SR_01_DISREG_ENTITY_CTRL_NA","SR_01_DISREG_ENTITY_DMCL_CNTR","SR_01_DISREG_ENTITY_ADDR_L2","SR_01_DISREG_ENTITY_ADDR_CNTR","SR_01_DISREG_ENTITY_NAME_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024","581790149","TANNER MEDICAL CENTER INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202041979349300024_public.xml","823790957","CLINIC","GA","164770","5206477","TMC CAMPUS HEALTH CENTER LLC","705 DIXIE STREET","CARROLLTON","GA","30117","TMC",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943449349300709","953972422","BONHAM RHF HOUSING INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943449349300709_public.xml","472131303","LOW INCOME HOUSING","CA",NA,NA,"CULVER CITY HOUSING LLC","911 N STUDEBAKER ROAD","LONG BEACH","CA","90815",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943449349300709","953972422","BONHAM RHF HOUSING INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943449349300709_public.xml","465045935","LOW INCOME HOUSING","CA",NA,NA,"ST JAMES PARK RHF HOUSING LLC","911 N STUDEBAKER ROAD","LONG BEACH","CA","90815",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931379349300208","260845683","Friend of God Ministries Inc","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931379349300208_public.xml",NA,"Provide Intercession for Apostles and other Leaders","CO","439883","24759","Apostolic Intercessors Network LLC","19925 Monument Hill Rd","Monument","CO","80132",NA,"N/A",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933179349308793","916034921","PACIFIC BANKERS MANAGEMENT","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201933179349308793_public.xml","274190464","MANAGMENT","WA","3928861","5721237","PACIFIC COAST BANKING SCHOOL LLC","2223 112TH AVE NE STE 200","BELLEVUE","WA","98004","PBM INST",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912949349301106","310787851","LICKING COUNTY AGING PROGRAM","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201912949349301106_public.xml",NA,"OWNERSHIP IN STRATFORD HOUSING LTD-PROVIDER OF SENIOR HOUSING","OH",NA,NA,"LCAP SENIOR HOUSING LLC","1058 EAST MAIN ST","NEWARK","OH","43055","STRATFORD HOUSING LTD PARTNERSHIP",NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371","260850444","NORTHAVEN CHARITABLE GIVING","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371_public.xml","832962506","CHARITABLE","TX","946102","929000","DJSW FOUNDATION LLC","12700 HILLCREST ROAD SUITE 201","DALLAS","TX","75230",NA,NA,NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371","260850444","NORTHAVEN CHARITABLE GIVING","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371_public.xml","320408591","CHARITABLE","TX","0","100000","GUS THOMASSON FOUNDATION LLC","12700 HILLCREST ROAD SUITE 201","DALLAS","TX","75230",NA,"N/A",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371","260850444","NORTHAVEN CHARITABLE GIVING","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202011969349302371_public.xml","320405003","CHARITABLE","TX","1223896","1204276","TURTLE CREEK FOUNDATION LLC","12700 HILLCREST ROAD SUITE 201","DALLAS","TX","75230",NA,"N/A",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010379349301501","620588710","THE ARC DAVIDSON COUNTY &","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010379349301501_public.xml","810886752","PROVIDES EMPLOYMENT OPPORTUNITIES FOR INDIVIDUALS","TN","14191","44","ARCABILITY LLC","50 VANTAGE WAY STE 202","NASHVILLE","TN","37228",NA,"N/A",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010379349301501","620588710","THE ARC DAVIDSON COUNTY &","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202010379349301501_public.xml","352607934","PROVIDES EMPLOYMENT OPPORTUNITIES FOR INDIVIDUALS","TN","14713","3596","EDOCTN LLC","50 VANTAGE WAY STE 202","NASHVILLE","TN","37228",NA,"N/A",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001909349301960","530210807","National Trust for Historic Preservation","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202001909349301960_public.xml","261983358","TRAVEL","DE","1544459","660362","HERITAGE TRAVEL LLC","1155 15TH STREET NW SUITE 300","WASHINGTON","DC","20005","NTCIC",NA,NA,NA,NA,NA
