"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
371169886,201812,93493116005279,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921169349300527_public.xml","BLOOMINGTON NORMAL ECONOMIC DEVELOPMENT COUNCIL","2019-06-21",201921169349300512,"2019-07-23T17:24:36",2018
264307444,201812,93493133058209,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305820_public.xml","KRISTI OVERTON JOHNSON MINISTRIES","2019-06-21",201901339349305824,"2019-07-23T17:24:36",2018
256032182,201812,93493135017669,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349301766_public.xml","CONSTRUCTION ADVANCEMENT PROGRAM OF WESTERN PENNSYLVANIA FUND","2019-06-21",201911359349301760,"2019-07-23T17:24:36",2018
361264295,201812,93493134069979,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349306997_public.xml","INTERNATIONAL BROTHERHOOD OF 301 TCWH","2019-07-19",201921349349307008,"2019-08-15T15:27:32",2018
271462229,201812,93493135045759,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349304575_public.xml","INVERSANT INC","2019-07-12",201901359349304576,"2019-08-15T15:27:32",2018
530193519,201812,93493133031059,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303105_public.xml","NATIONAL GEOGRAPHIC SOCIETY","2019-06-21",201901339349303104,"2019-07-23T17:24:36",2018
202444845,201812,93493133023109,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302310_public.xml","LOVE OF JESUS EAST INC","2019-06-28",201901339349302304,"2019-07-23T17:24:36",2018
237101860,201812,93493135125099,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349312509_public.xml","SOCIETY FOR THERIOGENOLOGY","2019-07-19",201941359349312512,"2019-08-15T15:27:32",2018
570699090,201812,93493135072189,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307218_public.xml","WESTMINSTER PRESBYTERIAN CENTER INC","2019-06-28",201931359349307232,"2019-07-23T17:24:36",2018
591958932,201812,93493126013539,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301353_public.xml","BAY VILLAGE ENDOWMENT FUND","2019-06-21",201931269349301344,"2019-07-23T17:24:36",2018
596122315,201812,93493131006479,"990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349300647_public.xml","MORTON F PLANT HOSPITAL TUA","2019-07-12",201921319349300640,"2019-08-15T15:27:32",2018
