"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"237073420","201812","93493135017659","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349301765_public.xml","IOWA OPERATING ENGINEERS APPRENTICESHIP AND TRAINING TRUST AGREEMENT","2019-07-12","201901359349301765","2019-08-15T15:27:32",2018
"260869273","201812","93492135027839","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349202783_public.xml","REDEEMERS LEADERSHIP INSTITUTE","2019-06-28","201931359349202783","2019-07-23T17:24:36",2018
"770217089","201812","93492130021329","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349202132_public.xml","SHARED HEART FOUNDATION","2019-06-28","201921309349202132","2019-07-23T17:24:36",2018
"113675401","201812","93493133051959","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305195_public.xml","MISSION RESOURCE INTERNATIONAL INC","2019-06-28","201901339349305195","2019-07-23T17:24:36",2018
"043225623","201812","93493130039379","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303937_public.xml","CHATHAM ECUMENICAL COUNCIL HELPING PREVENT HOMELESSNESS INC","2019-07-05","201921309349303937","2019-07-23T17:24:36",2018
"113648850","201812","93493134046719","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304671_public.xml","IGLESIA PENTECOSTAL BETHEL DE GAINESVILLE","2019-07-19","201911349349304671","2019-08-15T15:27:32",2018
"471035293","201812","93492135027109","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349202710_public.xml","CYCLISTS 4 COMMUNITY CO SANITAS LAW GROUP LLC","2019-07-19","201901359349202710","2019-08-15T15:27:32",2018
"133269965","201812","93493133031209","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303120_public.xml","ANIMAL RIGHTS ALLIANCE INC","2019-06-21","201901339349303120","2019-07-23T17:24:36",2018
"383444092","201812","93493130005079","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300507_public.xml","NONPROFIT NETWORK","2019-06-21","201921309349300507","2019-07-23T17:24:36",2018
"271461543","201812","93493133059709","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305970_public.xml","MAYO STREET ARTS","2019-06-21","201901339349305970","2019-07-23T17:24:36",2018
"823791580","201812","93493133058809","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305880_public.xml","WHEAT RIDGE AVALANCHE SOCCER CLUB INC","2019-06-21","201901339349305880","2019-07-23T17:24:36",2018
"812726679","201812","93493133058409","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349305840_public.xml","DTLA PROUD FESTIVAL INC","2019-06-21","201901339349305840","2019-07-23T17:24:36",2018
"046064917","201812","93493135072239","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307223_public.xml","COTUIT ATHLETIC ASSOCIATION INC","2019-06-28","201931359349307223","2019-07-23T17:24:36",2018
"421289754","201812","93493126015189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301518_public.xml","FAMILY YOUNG MENS CHRISTIAN ASSOC OF CHARLES CITY IA FOUNDATION","2019-06-21","201931269349301518","2019-07-23T17:24:36",2018
"471638297","201812","93493135121839","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349312183_public.xml","STAMPEDE MUSEUM ASSOCIATION CO ED PARKER","2019-07-12","201931359349312183","2019-08-15T15:27:32",2018
"420889923","201812","93493135121339","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349312133_public.xml","MAHASKA COUNTY HISTORICAL SOCIETY","2019-07-12","201931359349312133","2019-08-15T15:27:32",2018
"570381870","201812","93493134074279","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349307427_public.xml","COMPASS OF CAROLINA INC","2019-07-12","201921349349307427","2019-08-15T15:27:32",2018
"810523194","201812","93493134026529","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349302652_public.xml","CLAY STUDIO OF MISSOULA","2019-07-15","201921349349302652","2019-08-15T15:27:32",2018
"472721429","201812","93492135042389","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349204238_public.xml","BLACK CATS AND OLD DOGS ANIMAL RESCUE INC","2019-07-12","201931359349204238","2019-07-23T17:24:36",2018
"812764951","201812","93492135061009","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349206100_public.xml","MODESTO SOCCER FOUNDATION","2019-07-19","201901359349206100","2019-08-15T15:27:32",2018
"460896781","201812","93492134056979","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349205697_public.xml","COLTONS CURE FOUNDATION INC","2019-07-19","201921349349205697","2019-08-15T15:27:32",2018
"454525220","201812","93492131001229","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349200122_public.xml","ABILITIES FOCUS INC","2019-07-22","201921319349200122","2019-08-15T15:27:32",2018
"814384448","201812","93492130018329","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349201832_public.xml","SILICON VALLEY COMMUNITY SPORTS ASSOCIATION","2019-06-28","201921309349201832","2019-07-23T17:24:36",2018
"474857010","201812","93492133020339","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349202033_public.xml","EMPOWER","2019-07-19","201931339349202033","2019-08-15T15:27:32",2018
"822491015","201812","93492134043569","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349204356_public.xml","ORANGE HIGH SCHOOL PFSO INC","2019-07-19","201911349349204356","2019-08-15T15:27:32",2018
"812309702","201812","93492135001139","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349200113_public.xml","DUBLIN CRICKET LEAGUE","2019-07-12","201931359349200113","2019-07-23T17:24:36",2018
"208747259","201812","93493134048519","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304851_public.xml","TIM GRIFFITH MEMORIAL FOUNDATION","2019-07-19","201911349349304851","2019-08-15T15:27:32",2018
"931298975","201812","93492134060029","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349206002_public.xml","HARNEY COUNTY LIBRARY FOUNDATION","2019-07-19","201921349349206002","2019-08-15T15:27:32",2018
"474065365","201812","93492124006029","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921249349200602_public.xml","TENNESSEE STATE GUARD FOUNDATION INC","2019-06-27","201921249349200602","2019-07-23T17:24:36",2018
"262706717","201812","93492130002179","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349200217_public.xml","BRAKETTES INC","2019-07-12","201921309349200217","2019-07-23T17:24:36",2018
"271004033","201812","93493135127149","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349312714_public.xml","RICE AND BEANS MINISTRIES","2019-07-19","201941359349312714","2019-08-15T15:27:32",2018
"474234314","201812","93492135053759","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349205375_public.xml","PRINCE CENTER FOR THE VISUALLY IMPAIRED INC","2019-07-01","201901359349205375","2019-07-23T17:24:36",2018
"272985726","201812","93493126011389","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301138_public.xml","TOV VACHESED INC","2019-06-21","201931269349301138","2019-07-23T17:24:36",2018
"464085355","201812","93493135023219","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349302321_public.xml","BELT OF TRUTH MINISTRIES INC","2019-06-21","201911359349302321","2019-07-23T17:24:36",2018
"316083472","201812","93492134025729","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349202572_public.xml","CENTRAL OHIO ASSOCIATION FOR TALENT DEVELOPMENT","2019-07-19","201921349349202572","2019-08-15T15:27:32",2018
"453508032","201812","93492134024879","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349202487_public.xml","LUCKY DAY ANIMAL RESCUE OF COLORADO","2019-07-19","201921349349202487","2019-08-15T15:27:32",2018
"237290844","201812","93493133068359","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349306835_public.xml","SEWARD REDESIGN INC","2019-07-11","201901339349306835","2019-07-23T17:24:36",2018
"561480247","201812","93493135059089","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349305908_public.xml","CARTERET COUNTY HISTORICAL SOCIETY INC","2019-07-11","201931359349305908","2019-07-23T17:24:36",2018
"410698309","201812","93493133011759","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349301175_public.xml","GAMEHAVEN COUNCIL INC BOY SCOUTS OF AMERICA","2019-07-11","201901339349301175","2019-07-23T17:24:36",2018
"980701785","201812","93493133011609","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349301160_public.xml","PRODUCT CARE ASSOCIATION OF CANADA","2019-07-11","201901339349301160","2019-07-23T17:24:36",2018
"743100981","201812","93493150007489","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931509349300748_public.xml","HAVASU COLUMBIANS FRATERNAL ORG","2019-06-21","201931509349300748","2019-07-23T17:24:36",2018
"363611263","201812","93493126009239","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349300923_public.xml","AUSTIN COMMUNITY EDUCATION FUND","2019-06-21","201931269349300923","2019-07-23T17:24:36",2018
"271273638","201812","93492120001349","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941209349200134_public.xml","WOODBURN COMMUNITY ASSOCIATION INC","2019-06-28","201941209349200134","2019-07-23T17:24:36",2018
"455427132","201812","93492120000499","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941209349200049_public.xml","PETER K RUHRY KEYS TO HOPE FOUNDATION INC","2019-06-28","201941209349200049","2019-07-23T17:24:36",2018
"646021291","201812","93493134019969","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349301996_public.xml","SAM E WOODS SCHOLARSHIP FUND","2019-07-19","201911349349301996","2019-08-15T15:27:32",2018
"260752144","201812","93493135024309","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349302430_public.xml","KANSAS STATE ANIMAL RESPONSE TEAM","2019-07-19","201901359349302430","2019-08-15T15:27:32",2018
"800584058","201812","93492129008299","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349200829_public.xml","NOT BY CHOICE OUTREACH","2019-06-27","201941299349200829","2019-07-23T17:24:36",2018
"460638989","201812","93492099007279","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201920999349200727_public.xml","FIVE PILLARS OF STILLPOINTE INC","2019-06-27","201920999349200727","2019-07-23T17:24:36",2018
"471785288","201812","93492087005419","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910879349200541_public.xml","COUNTY PARSON MINISTRIES INC","2019-06-27","201910879349200541","2019-07-23T17:24:36",2018
"461957691","201812","93492121005049","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941219349200504_public.xml","HARVEST OF HOPE FOOD PANTRY INC","2019-06-27","201941219349200504","2019-07-23T17:24:36",2018
"203075565","201812","93492134019979","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349201997_public.xml","STEPPING STONE MISSION OF FRANKLIN COUNTY","2019-07-01","201921349349201997","2019-07-23T17:24:36",2018
"260730108","201812","93492135007239","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349200723_public.xml","DAIR INC","2019-07-12","201931359349200723","2019-07-23T17:24:36",2018
"870565046","201812","93492144002249","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941449349200224_public.xml","FRIENDS OF CARBON-EMERY COUNTIES CHILDRENS JUSTICE CTR","2019-06-24","201941449349200224","2019-07-23T17:24:36",2018
