"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"680567493","201812","93493130038079","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303807_public.xml","PACHYONYCHIA CONGENITA FUND","2019-06-21","201921309349303807","2019-07-23T17:24:36",2018
"233042770","201812","93492135002459","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349200245_public.xml","RACE TRACK CHAPLAINCY OF AMERICA PA DIV","2019-07-19","201901359349200245","2019-08-15T15:27:32",2018
"822377644","201812","93492135027989","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349202798_public.xml","AMERICAN FRIENDS OF THE ROYAL COLLECTION","2019-06-28","201931359349202798","2019-07-23T17:24:36",2018
"811603851","201812","93493133000459","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300045_public.xml","CHEVRA HATZALAH OF CROWN HEIGHTS CORP","2019-07-05","201901339349300045","2019-07-23T17:24:36",2018
"261196166","201812","93493130039429","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303942_public.xml","GAP MISSIONS MINISTRIES INC","2019-07-05","201921309349303942","2019-07-23T17:24:36",2018
"900971979","201812","93492135041139","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349204113_public.xml","CODE 3 EVENTS INC","2019-07-12","201931359349204113","2019-07-23T17:24:36",2018
"232876724","201812","93493135041609","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349304160_public.xml","PLEASANT HALL VOLUNTEER FIRE COMPANY","2019-07-12","201901359349304160","2019-08-15T15:27:32",2018
"133269965","201812","93493133031209","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303120_public.xml","ANIMAL RIGHTS ALLIANCE INC","2019-06-21","201901339349303120","2019-07-23T17:24:36",2018
"352518819","201812","93493130007229","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349300722_public.xml","FAMILY PROMISE OF SOUTHERN CHESTER COUNTY","2019-06-21","201921309349300722","2019-07-23T17:24:36",2018
"530193519","201812","93493133031059","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303105_public.xml","NATIONAL GEOGRAPHIC SOCIETY","2019-06-21","201901339349303105","2019-07-23T17:24:36",2018
"166052562","201812","93493133023709","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302370_public.xml","AMERICAN CHEMICAL SOCIETY DIVISION OF BIOLOGICAL CHEMISTRY","2019-06-28","201901339349302370","2019-07-23T17:24:36",2018
"846107081","201812","93493135071939","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307193_public.xml","NATIONAL FEDERATION OF THE BLIND OF COLORADO","2019-06-28","201931359349307193","2019-07-23T17:24:36",2018
"310628641","201812","93493134015429","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349301542_public.xml","COMMUNITY FOUNDATION OF UNION COUNTY INC","2019-06-28","201921349349301542","2019-07-23T17:24:36",2018
"205775122","201812","93493135052289","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349305228_public.xml","SUNRISE COMMUNITY FOR RECOVERY AND WELLNESS INC","2019-07-05","201931359349305228","2019-07-23T17:24:36",2018
"812805771","201812","93492134057879","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349205787_public.xml","TERESA J ROYBAL MINISTRIES","2019-07-19","201921349349205787","2019-08-15T15:27:32",2018
"311779273","201812","93492133030409","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349203040_public.xml","CASA OF THE FOURTH JUDICAL DISTRICT INC","2019-07-12","201901339349203040","2019-07-23T17:24:36",2018
"237067087","201812","93493135084189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349308418_public.xml","SACRAMENTO DISTRICT DENTAL FOUNDATION","2019-07-12","201931359349308418","2019-08-15T15:27:32",2018
