"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"760349225","201812","93493133027159","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302715_public.xml","CLEAN CHANNEL ASSOCIATION INC","2019-06-21","201901339349302715","2019-07-23T17:24:36",2018
"956093439","201812","93493135056469","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349305646_public.xml","INDEPENDENT INSURANCE AGENTS AND BROKERS OF SAN DIEGO INC","2019-06-21","201911359349305646","2019-07-23T17:24:36",2018
"237204318","201812","93493135057369","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349305736_public.xml","SITE IMPROVEMENT ASSOCIATION OF MISSOURI","2019-06-21","201911359349305736","2019-07-23T17:24:36",2018
"954733214","201812","93493135056869","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349305686_public.xml","GREATER CALIFORNIA LIVERY ASSOCIATION","2019-06-21","201911359349305686","2019-07-23T17:24:36",2018
"274415664","201812","93493130052579","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349305257_public.xml","HELPING HEARTS FOUNDATION","2019-06-28","201921309349305257","2019-07-23T17:24:36",2018
"620246190","201812","93493135040469","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349304046_public.xml","CNIC EMPLOYEES CREDIT UNION","2019-06-21","201911359349304046","2019-07-23T17:24:36",2018
"160755798","201812","93493135018219","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349301821_public.xml","MEDICAL SOCIETY OF THE COUNTY OF MONROE","2019-06-21","201911359349301821","2019-07-23T17:24:36",2018
"200391941","201812","93492133016589","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349201658_public.xml","TRI-STATE WATER RESOURCE COALITION","2019-07-19","201931339349201658","2019-08-15T15:27:32",2018
"113039736","201812","93493134095619","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349309561_public.xml","ACHENU INC","2019-07-12","201911349349309561","2019-08-15T15:27:32",2018
"330837714","201812","93493134041519","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304151_public.xml","MCMILLIN LOMAS VERDES MASTER ASSOCIATION","2019-07-19","201911349349304151","2019-08-15T15:27:32",2018
"364317490","201812","93493134070069","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349307006_public.xml","ASSOCIATION OF LICENSED ARCHITECTS","2019-07-19","201911349349307006","2019-08-15T15:27:32",2018
"521497588","201812","93493134046529","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349304652_public.xml","NATL ORG OF BLACK LAW ENFORC EXEC","2019-07-12","201921349349304652","2019-08-15T15:27:32",2018
"440524890","201812","93493130024979","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349302497_public.xml","EMPLOYMENT SECURITY CREDIT UNION","2019-06-28","201921309349302497","2019-07-23T17:24:36",2018
"370818194","201812","93493133046959","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349304695_public.xml","WESTERN IL SCHOOL EMPLOYEES CU","2019-06-28","201901339349304695","2019-07-23T17:24:36",2018
"810331594","201812","93493134072419","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349307241_public.xml","MONTANA OPTOMETRIC ASSOCIATION","2019-07-19","201911349349307241","2019-08-15T15:27:32",2018
"926002196","201812","93493133048159","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349304815_public.xml","INTL ASSN OF FIREFIGHTERS LOCAL 1264","2019-06-28","201901339349304815","2019-07-23T17:24:36",2018
"237087639","201812","93493133065389","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349306538_public.xml","NORTH CENTRAL ELECTRICAL MANUFACTURERS CLUB","2019-07-19","201931339349306538","2019-08-15T15:27:32",2018
