"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"710849753","201812","93493126014589","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349301458_public.xml","LIBERTY CHRISTIAN SCHOOL INC","2019-06-21","201931269349301458","2019-07-23T17:24:36",2018
"582628359","201812","93493135026619","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349302661_public.xml","GODS FOUNDATION CHRISTIAN SCHOOL DBA NEW BEGINNING CHRISTIAN SCHOOL","2019-06-21","201911359349302661","2019-07-23T17:24:36",2018
"161467138","201812","93492135007309","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349200730_public.xml","THOUSAND ISLAND PARK YACHT CLUB INC","2019-07-19","201901359349200730","2019-08-15T15:27:32",2018
"580665885","201812","93492131002279","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349200227_public.xml","CHRISTIAN COLLEGE OF GEORGIA","2019-07-22","201921319349200227","2019-08-15T15:27:32",2018
"113414764","201812","93492123002339","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931239349200233_public.xml","BEIJING CHINESE SCHOOL INC","2019-06-27","201931239349200233","2019-07-23T17:24:36",2018
"043042212","201812","93492135024839","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349202483_public.xml","OLD DEERFIELD NURSERY SCHOOL INC","2019-07-12","201931359349202483","2019-07-23T17:24:36",2018
"472682785","201812","93493135126449","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349312644_public.xml","GUNN CHRISTIAN ACADEMY INC","2019-07-19","201941359349312644","2019-08-15T15:27:32",2018
"161462801","201812","93492131010179","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349201017_public.xml","WORLD OF WONDERS PRESCHOOL","2019-07-22","201921319349201017","2019-08-15T15:27:32",2018
"200536531","201812","93493135041239","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349304123_public.xml","MONTESSORI CASA INTERNATIONAL","2019-07-11","201931359349304123","2019-07-23T17:24:36",2018
"911826451","201812","93492134025179","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349202517_public.xml","CREATE INC","2019-07-19","201921349349202517","2019-08-15T15:27:32",2018
"262542410","201812","93492134018979","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349201897_public.xml","GOLD SUMMIT ODEC","2019-06-28","201921349349201897","2019-07-23T17:24:36",2018
"900911655","201812","93493133033939","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303393_public.xml","PERIWINKLE ELEMENTARY SCHOOL","2019-07-12","201931339349303393","2019-08-15T15:27:32",2018
"941573584","201812","93492121004399","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941219349200439_public.xml","NEWMAN COOPERATIVE PRESCHOOL","2019-06-27","201941219349200439","2019-07-23T17:24:36",2018
"810768235","201812","93492106002239","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931069349200223_public.xml","ELEPHANT SOCCER CLUB OF HARLEM","2019-06-27","201931069349200223","2019-07-23T17:24:36",2018
"651289003","201812","93492126012539","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349201253_public.xml","SCIENCE QUEST INC","2019-06-24","201931269349201253","2019-07-23T17:24:36",2018
"237327826","201812","93492126011539","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931269349201153_public.xml","SEATTLE COMMUNITY COLLEGE- LAKEWOOD COOPERATIVE PRESCHOOL","2019-06-24","201931269349201153","2019-07-23T17:24:36",2018
"462762952","201812","93492133012389","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349201238_public.xml","TURNER COUNTY CHRISTIAN LEARNING","2019-07-19","201931339349201238","2019-08-15T15:27:32",2018
"813649673","201812","93493133040389","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349304038_public.xml","SONOMA CONSERVATORY OF DANCE","2019-07-19","201931339349304038","2019-08-15T15:27:32",2018
"472793597","201812","93492133015689","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349201568_public.xml","ORZEL BIALY POLISH SCHOOL","2019-07-19","201931339349201568","2019-08-15T15:27:32",2018
"362822477","201812","93493134072329","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349307232_public.xml","KOLBE SCHOOL OF POLISH LANGUAGE","2019-07-12","201921349349307232","2019-08-15T15:27:32",2018
"391201350","201812","93493134072379","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349307237_public.xml","CHRISTIAN CHAPEL DAY CARE INC","2019-07-12","201921349349307237","2019-08-15T15:27:32",2018
"341978504","201812","93493135074589","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349307458_public.xml","WESTEN COVENANT UNIVERSITY","2019-06-21","201931359349307458","2019-07-23T17:24:36",2018
"263032872","201812","93493135037269","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349303726_public.xml","LITTLE LAMBS PRESCHOOL DAYCARE MINISTRY INC","2019-06-15","201911359349303726","2019-07-23T17:24:36",2018
"811458039","201812","93493135032439","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349303243_public.xml","MCEIVR INC","2019-07-05","201931359349303243","2019-07-23T17:24:36",2018
"263725357","201812","93493134022129","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349302212_public.xml","AGAPE COMMUNITY DEVELOPMENT CENTER","2019-07-26","201921349349302212","2019-08-15T15:27:32",2018
"475469074","201812","93493135006339","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349300633_public.xml","COMMUNITY PRESCHOOL OF THE PALISADES INC","2019-07-05","201931359349300633","2019-07-23T17:24:36",2018
"264711953","201812","93493135014109","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349301410_public.xml","MIDDLEBURY STUDIO SCHOOL","2019-07-26","201901359349301410","2019-08-15T15:27:32",2018
"113197361","201812","93493171011079","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921719349301107_public.xml","BETHPAGE DISCOVERY PROGRAM INC","2019-07-26","201921719349301107","2019-08-15T15:27:32",2018
