"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"360862203","201812","93493133026309","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302630_public.xml","CHICAGO FIREFIGHTERS CREDIT UNION","2019-06-21","201901339349302630","2019-07-23T17:24:36",2018
"611187501","201812","93493135018659","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349301865_public.xml","CORBINS UNITED EFFORT INC","2019-07-12","201901359349301865","2019-08-15T15:27:32",2018
"954526760","201812","93493130037529","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303752_public.xml","NUEVO AMANECER LATINO CHILDRENS SERVICES","2019-06-21","201921309349303752","2019-07-23T17:24:36",2018
"341456398","201812","93493135023639","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349302363_public.xml","COMMUNITY WEST FOUNDATION","2019-06-28","201931359349302363","2019-07-23T17:24:36",2018
"222943589","201812","93493133002189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349300218_public.xml","ELEVATOR CONSTRUCTORS BUILDING ASSOCIATIONINC","2019-07-19","201931339349300218","2019-08-15T15:27:32",2018
"050507917","201812","93493135019289","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349301928_public.xml","BUILD RI","2019-06-28","201931359349301928","2019-07-23T17:24:36",2018
"752737612","201812","93493144000099","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941449349300009_public.xml","SOUTH ASIA NATIVE MISSIONARY ALL","2019-06-21","201941449349300009","2019-07-23T17:24:36",2018
"220928500","201812","93493133032589","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303258_public.xml","FUEL MERCHANTS ASSOCIATION OF NJ","2019-07-19","201931339349303258","2019-08-15T15:27:32",2018
"954640368","201812","93493135018189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349301818_public.xml","CALIFORNIA POWER EXCHANGE CORPORATION","2019-06-28","201931359349301818","2019-07-23T17:24:36",2018
"950884084","201812","93493129021549","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349302154_public.xml","INTERNATIONAL BROTHERHOOD OF 42 JOINT COUNCIL","2019-06-27","201941299349302154","2019-07-23T17:24:36",2018
"540183175","201812","93493087003069","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201910879349300306_public.xml","CRAIG-BOTETOURT ELECTRIC COOPERATIVE","2019-06-27","201910879349300306","2019-07-23T17:24:36",2018
"431046942","201812","93493135095049","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349309504_public.xml","EPCOR","2019-07-19","201941359349309504","2019-08-15T15:27:32",2018
"410328950","201812","93493133064589","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349306458_public.xml","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL UNION NO 292","2019-07-19","201931339349306458","2019-08-15T15:27:32",2018
"270851935","201812","93493133011889","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349301188_public.xml","OHIO HEALTH INFORMATION PARTNERSHIP INC","2019-07-19","201931339349301188","2019-08-15T15:27:32",2018
"141587425","201812","93493129019949","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941299349301994_public.xml","ESSEX COUNTY FACILITIES INC","2019-06-27","201941299349301994","2019-07-23T17:24:36",2018
"593403555","201812","93493134042619","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304261_public.xml","FLORIDA RELIABILITY COORDINATING COUNCIL INC","2019-07-19","201911349349304261","2019-08-15T15:27:32",2018
"041133150","201812","93493106003389","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931069349300338_public.xml","BUILDING AND CONSTRUCTION TRADES COUNCIL","2019-06-27","201931069349300338","2019-07-23T17:24:36",2018
"576000318","201812","93493133034239","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303423_public.xml","CHARLESTON MUSEUM","2019-07-12","201931339349303423","2019-08-15T15:27:32",2018
"061565733","201812","93493133034189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303418_public.xml","NORTHWEST CONNECTICUT COMMUNITY FOUNDATION INC","2019-07-12","201931339349303418","2019-08-15T15:27:32",2018
"571066228","201812","93493134046069","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349304606_public.xml","TENA AND FRED OATES FOUNDATION","2019-07-19","201911349349304606","2019-08-15T15:27:32",2018
"550797265","201812","93493134100469","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349310046_public.xml","CALIFORNIA STORMWATER QUALITY ASSOCIATION","2019-07-19","201911349349310046","2019-08-15T15:27:32",2018
"330656671","201812","93493134074669","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349307466_public.xml","SPRINGBOARD NONPROFIT CONSUMER CREDIT MANAGEMENT INC","2019-07-19","201911349349307466","2019-08-15T15:27:32",2018
"630917614","201812","93493130029279","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349302927_public.xml","ALABAMA CATTLEMENS FOUNDATION","2019-06-28","201921309349302927","2019-07-23T17:24:36",2018
"740650998","201812","93493135093499","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201941359349309349_public.xml","GECU","2019-07-19","201941359349309349","2019-08-15T15:27:32",2018
"464471239","201812","93493135058659","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349305865_public.xml","GREAT PLAINS QUALITY INNOVATION NETWORK CO CIMRO","2019-06-28","201901359349305865","2019-07-23T17:24:36",2018
