"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"576025899","201812","93493135033019","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349303301_public.xml","SOUTH CAROLINA PROPANE GAS ASSOCIAT","2019-06-21","201911359349303301","2019-07-23T17:24:36",2018
"360862203","201812","93493133026309","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302630_public.xml","CHICAGO FIREFIGHTERS CREDIT UNION","2019-06-21","201901339349302630","2019-07-23T17:24:36",2018
"042444195","201812","93493135038559","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349303855_public.xml","SCHOLARSHIP FOUNDATION OF WAKEFIELD INC","2019-06-28","201901359349303855","2019-07-23T17:24:36",2018
"561966466","201812","93493135069989","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349306998_public.xml","CORPORATE CHAPLAINS OF AMERICA INC","2019-06-28","201931359349306998","2019-07-23T17:24:36",2018
"261855362","201812","93493133035459","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349303545_public.xml","CROSSWAY TOWER INC","2019-07-05","201901339349303545","2019-07-23T17:24:36",2018
"570827131","201812","93493130039479","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303947_public.xml","SOUTH STRAND HELPING HAND INC","2019-07-05","201921309349303947","2019-07-23T17:24:36",2018
"113039736","201812","93493134095619","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349309561_public.xml","ACHENU INC","2019-07-12","201911349349309561","2019-08-15T15:27:32",2018
"277039257","201812","93493133034639","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931339349303463_public.xml","UPSTATE NEW YORK CONSTRUCTION INDUSTRY RESEARCH AND SERVICE TR FUND","2019-07-19","201931339349303463","2019-08-15T15:27:32",2018
"480805852","201812","93493134013219","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349301321_public.xml","KANSAS CABLE TELECOMMUNICATIONS ASSOCIATION","2019-07-19","201911349349301321","2019-08-15T15:27:32",2018
"364317490","201812","93493134070069","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349307006_public.xml","ASSOCIATION OF LICENSED ARCHITECTS","2019-07-19","201911349349307006","2019-08-15T15:27:32",2018
"951117083","201812","93493131004029","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349300402_public.xml","PRIORITY ONE CREDIT UNION","2019-07-19","201921319349300402","2019-08-15T15:27:32",2018
"271462229","201812","93493135045759","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349304575_public.xml","INVERSANT INC","2019-07-12","201901359349304575","2019-08-15T15:27:32",2018
"943426924","201812","93493134015179","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349301517_public.xml","DELTA MENS ASSOCIATION INC","2019-06-28","201921349349301517","2019-07-23T17:24:36",2018
"810331594","201812","93493134072419","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349307241_public.xml","MONTANA OPTOMETRIC ASSOCIATION","2019-07-19","201911349349307241","2019-08-15T15:27:32",2018
"352048036","201812","93492133030109","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349203010_public.xml","JASPER TENNIS PATRONS ORG INC CO SCOTT YARBROUGH","2019-07-12","201901339349203010","2019-07-23T17:24:36",2018
"954640368","201812","93493135018189","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349301818_public.xml","CALIFORNIA POWER EXCHANGE CORPORATION","2019-06-28","201931359349301818","2019-07-23T17:24:36",2018
"462563673","201812","93492133009909","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349200990_public.xml","CROSSROADS ADAPTIVE ATHLETIC ALLIANCE","2019-06-28","201901339349200990","2019-07-23T17:24:36",2018
"473396876","201812","93493135029469","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349302946_public.xml","KURT B SEYDOW DYSTONIA FOUNDATION","2019-06-21","201911359349302946","2019-07-23T17:24:36",2018
"832328780","201812","93492134038469","990EZ","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911349349203846_public.xml","WTR FOR LIFE INC","2019-07-19","201911349349203846","2019-08-15T15:27:32",2018
