"EIN","TaxPeriod","DLN","FormType","URL","OrganizationName","SubmittedOn","ObjectId","LastUpdated","TaxYear"
"463794874","201812","93493135018109","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349301810_public.xml","CAMP DUDLEY FOUNDATION INC","2019-07-12","201901359349301810","2019-08-15T15:27:32",2018
"521927600","201812","93493130036829","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921309349303682_public.xml","SECOND CHANCE WILDLIFE CENTER INC","2019-06-21","201921309349303682","2019-07-23T17:24:36",2018
"205545018","201812","93493133002159","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349300215_public.xml","GLOBAL INVESTMENT FOUNDATION FOR TOMORROW INC","2019-07-05","201901339349300215","2019-07-23T17:24:36",2018
"264346872","201812","93493135036589","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349303658_public.xml","MIDWEST MITIGATION OVERSIGHT ASSOCIATION INCORPORATED","2019-07-05","201931359349303658","2019-07-23T17:24:36",2018
"271462229","201812","93493135045759","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901359349304575_public.xml","INVERSANT INC","2019-07-12","201901359349304575","2019-08-15T15:27:32",2018
"202444845","201812","93493133023109","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201901339349302310_public.xml","LOVE OF JESUS EAST INC","2019-06-28","201901339349302310","2019-07-23T17:24:36",2018
"391398733","201812","93493135048869","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201911359349304886_public.xml","BRULE RIVER PRESERVATION INC","2019-06-21","201911359349304886","2019-07-23T17:24:36",2018
"260015069","201812","93493135121539","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201931359349312153_public.xml","FUTURE CITIZENS FOUNDATION DBA THE FIRST TEE OF MONTEREY","2019-07-12","201931359349312153","2019-08-15T15:27:32",2018
"581603430","201812","93493131006329","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921319349300632_public.xml","CAROLINA PREGNANCY CENTER INC","2019-07-12","201921319349300632","2019-08-15T15:27:32",2018
"205339525","201812","93493134026829","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201921349349302682_public.xml","MINTO COMMUNITY CENTER","2019-07-15","201921349349302682","2019-08-15T15:27:32",2018
